Country_Name,Country_Code,GDP_per_capita
Turks and Caicos Islands,TCA,27142.2278
Tuvalu,TUV,4059.029996
Uganda,UGA,776.7685759
Ukraine,UKR,3659.031312
United Arab Emirates,ARE,43103.32306
United Kingdom,GBR,42300.26713
United States,USA,65280.68224
Uruguay,URY,16190.12696
Uzbekistan,UZB,1724.841134
Vanuatu,VUT,3058.065675
"Venezuela, RB",VEN,16054.49051
Vietnam,VNM,2715.276036
Virgin Islands (U.S.),VIR,35938.02439
West Bank and Gaza,PSE,3198.866644
"Yemen, Rep.",YEM,968.1590476
Zambia,ZMB,1291.343357
Zimbabwe,ZWE,1463.98591
Arab World,ARB,6580.056257
Caribbean small states,CSS,10307.58628
Central Europe and the Baltics,CEB,16184.33201
Early-demographic dividend,EAR,3641.494281
East Asia & Pacific,EAS,11526.73649
East Asia & Pacific (excluding high income),EAP,8222.07773
East Asia & Pacific (IDA & IBRD countries),TEA,8308.334363
Euro area,EMU,38925.66511
Europe & Central Asia,ECS,24696.33961
Europe & Central Asia (excluding high income),ECA,8110.721448
Europe & Central Asia (IDA & IBRD countries),TEC,8988.92805
European Union,EUU,34843.29747
Fragile and conflict affected situations,FCS,2206.398265
Heavily indebted poor countries (HIPC),HPC,947.0612336
High income,HIC,44583.55876
IBRD only,IBD,6564.920147
IDA & IBRD total,IBT,5227.759059
IDA blend,IDB,1762.411154
IDA only,IDX,1185.841859
IDA total,IDA,1377.49082
Late-demographic dividend,LTE,10000.48201
Latin America & Caribbean,LCN,8847.43187
Latin America & Caribbean (excluding high income),LAC,8368.446391
Latin America & the Caribbean (IDA & IBRD countries),TLA,8681.196686
Least developed countries: UN classification,LDC,1069.681699
Low & middle income,LMY,5080.365496
Low income,LIC,779.8189412
Lower middle income,LMC,2176.558227
Middle East & North Africa,MEA,8104.501888
Middle East & North Africa (excluding high income),MNA,3793.932018
Middle East & North Africa (IDA & IBRD countries),TMN,3799.787291
Middle income,MIC,5575.440915
North America,NAC,63327.45884
OECD members,OED,39438.22758
Other small states,OSS,13981.58378
Pacific island small states,PSS,4192.973761
Post-demographic dividend,PST,45578.12637
Pre-demographic dividend,PRE,1472.385402
Small states,SST,12730.94449
South Asia,SAS,1959.917165
South Asia (IDA & IBRD),TSA,1959.917165
Sub-Saharan Africa,SSF,1585.436468
Sub-Saharan Africa (excluding high income),SSA,1573.013688
Sub-Saharan Africa (IDA & IBRD countries),TSS,1585.436468
Upper middle income,UMC,9040.045782
World,WLD,11435.60987
